PC1,PC2,label
-1.3750622990883439,-0.8635612093820515,RMALOS
-1.213354567659249,-0.7768100903751689,RMALOS
-1.214361087894535,-0.46877104836106365,RMALOS
-1.2391256865544296,-0.6956740610918585,RMALOS
-1.201798799897595,-0.750998585222243,RMALOS
-1.1393000539992817,-0.6666581483358174,RMALOS
-1.2465199704112462,-0.7511013737070645,RMALOS
-1.306714638452427,-0.7788356548459383,RMALOS
-1.0762070336598868,-0.811627835882499,RMALOS
-1.2128866740997362,-0.69525577273652,RMALOS
-1.2750724769589263,-0.8885173202303412,RMALOS
-1.1882599783227896,-0.644003971744356,RMALOS
-1.1964843895906152,-0.721310267338663,RMALOS
-1.2108966682786912,-0.8183570348883661,RMALOS
-1.2380176939153633,-0.7323594824095104,RMALOS
-1.2085383359282695,-0.6852181463183858,RMALOS
-1.172852059987669,-0.6971182352485188,RMALOS
-0.9875282411128157,-0.7765352935288706,RMALOS
-1.2198420097650977,-0.7050038325040092,RMALOS
-1.1353959677195653,-0.7859954993301269,RMALOS
-1.2365503665099324,-0.7210340394847674,RMALOS
-1.066365889722509,-0.6329575535356272,RMALOS
-1.2506918018458377,-0.7761047843223146,RMALOS
-1.2061111901824473,-0.7734716790324279,RMALOS
-1.0888090998749889,-0.7294775287640021,RMALOS
-1.1614220477667991,-0.7505446479683511,RMALOS
-1.2099520591651642,-0.7215600049498171,RMALOS
-1.0552051665393327,-0.8462367109507232,RMALOS
-1.3352092422323276,-0.7048962479451868,RMALOS
-1.239514823217033,-0.5955527932952425,RMALOS
-1.1638025712487816,-0.7709637234303599,RMALOS
-1.1884101047603797,-0.7418311284091194,RMALOS
-1.1651430546450474,-0.6961945765148634,RMALOS
-1.07732852347314,-0.7894075779174233,RMALOS
-1.2080099258516999,-0.7418476061785437,RMALOS
-1.1529227341502746,-0.8046432775228891,RMALOS
-1.164307304923944,-0.8200635312624194,RMALOS
-1.1148232171004429,-0.8549917169213459,RMALOS
-1.2014911123802212,-0.8164953761880654,RMALOS
-1.0640093298810869,-0.8411923798543489,RMALOS
-1.202517624300181,-0.8228674167736825,RMALOS
-1.077432804879773,-0.8386105448624626,RMALOS
-1.201356189554878,-0.7836778961863693,RMALOS
-1.1406944651894666,-0.8122532072804092,RMALOS
-1.0494830623647924,-0.8080982866434451,RMALOS
-1.123272229627577,-0.8751524167094036,RMALOS
-1.2974631023519583,-0.825485773128015,RMALOS
-1.1800797867382902,-0.7756952757366394,RMALOS
-1.3030671249920687,-0.7343009718759341,RMALOS
-1.2385341155424876,-0.9710721762775548,RMALOS
-1.229567113601363,-0.8116357065374353,RMALOS
-1.1333133124270032,-0.7563896734689128,RMALOS
-1.0026849950400312,-0.8122829389448156,RMALOS
-1.026385321296951,-0.8320898996171224,RMALOS
-1.0829262480756394,-0.8865658160190174,RMALOS
-1.0775958247970852,-0.8722595153672438,RMALOS
-0.9945371930655076,-0.8897863391328884,RMALOS
-1.3008487447235964,-1.008203207021752,RMALOS
-1.0384810199327643,-0.952354643769246,RMALOS
-1.0263929524024171,-0.8765686461158153,RMALOS
-1.0433062674485818,-0.9252182747599417,RMALOS
-1.165327152188641,-0.7732019949500705,RMALOS
